,ADMM,PGD,DRS,HQS
ADMM - 26.077676319860743dB,0.0,0.014506022445857525,0.0912933349609375,1.3688253164291382
PGD - 26.08104994275503dB,0.014506022445857525,0.0,0.1011301651597023,1.3682149648666382
DRS - 26.0708408591979dB,0.0912933349609375,0.1011301651597023,0.0,1.4146677255630493
HQS - 25.863161587499903dB,1.3688253164291382,1.3682149648666382,1.4146677255630493,0.0
